,services,popularity,category
461,Transmission removed and reinstalled,5,miscellaneous
462,Turn signal switch replaced,5,miscellaneous
463,Undercoating/rustproofing inspected,5,miscellaneous
464,Valve body replaced,5,miscellaneous
465,Washer pump replaced,5,miscellaneous
466,Weatherstrip repaired,5,miscellaneous
467,Window switch replaced,5,miscellaneous
468,Wiper switch replaced,5,miscellaneous
469,90,4,miscellaneous
470,A/C and heating control assembly replaced,4,miscellaneous
471,Amplifier/sub-woofer installed,4,miscellaneous
472,Battery cable terminal end(s) replaced,4,miscellaneous
473,Brake hose(s) replaced,4,miscellaneous
474,Brake pedal pad replaced,4,miscellaneous
475,Brake wheel cylinder(s) replaced,4,miscellaneous
476,Camshaft(s) replaced/repaired,4,miscellaneous
477,CV boot(s) replaced,4,miscellaneous
478,Cylinder head gasket(s) replaced,4,miscellaneous
479,Decals/letters/name plates replaced,4,miscellaneous
480,Door latch adjusted,4,miscellaneous
481,Door lock(s) replaced/repaired,4,miscellaneous
482,Drive belt tensioner pulley replaced,4,miscellaneous
483,Engine timing/front cover gasket replaced,4,miscellaneous
484,Front axle(s) replaced/repaired,4,miscellaneous
485,Front door adjusted,4,miscellaneous
486,Fuel pressure sensor replaced,4,miscellaneous
487,Hood release cable replaced,4,miscellaneous
488,Inside rear view mirror remounted,4,miscellaneous
489,Leak detection pump replaced,4,miscellaneous
490,Liftgate/tailgate door adjusted,4,miscellaneous
491,Lower radiator hose replaced,4,miscellaneous
492,Molding replaced,4,miscellaneous
493,Occupant sensor replaced,4,miscellaneous
494,Oil pan replaced/repaired,4,miscellaneous
495,Outer tie rod(s) replaced,4,miscellaneous
496,Pinion seal(s) replaced,4,miscellaneous
497,Power outlet replaced/repaired,4,miscellaneous
498,Pre-purchase inspection completed,4,miscellaneous
499,Radiator fan operation checked,4,miscellaneous
500,Radiator fan replaced,4,miscellaneous
501,Rear window defogger repaired,4,miscellaneous
502,Rear wiper motor replaced,4,miscellaneous
503,Refrigerant added for leak check checked,4,miscellaneous
504,Replacement part painted,4,miscellaneous
505,Seat memory computer/module checked,4,miscellaneous
506,Shift lever knob/handle replaced,4,miscellaneous
507,Shift lever/assembly replaced,4,miscellaneous
508,Shift linkage checked,4,miscellaneous
509,Shifter cable replaced,4,miscellaneous
510,Stabilizer bar bushings replaced,4,miscellaneous
511,Stabilizer bar replaced,4,miscellaneous
512,Tailgate/trunk lock replaced,4,miscellaneous
513,Tailpipe extension(s) installed,4,miscellaneous
514,Tie rod(s) replaced,4,miscellaneous
515,Transaxle replaced,4,miscellaneous
516,Vacuum pump replaced,4,miscellaneous
517,Wind noise checked,4,miscellaneous
518,Windshield calibrated,4,miscellaneous
519,22,3,miscellaneous
520,A/C evaporator replaced,3,miscellaneous
521,Accelerator linkage/bracket checked,3,miscellaneous
522,Air suspension compressor replaced/repaired,3,miscellaneous
523,Air vent/outlet replaced,3,miscellaneous
524,Air/water leak checked,3,miscellaneous
525,Anti-theft computer/module replaced,3,miscellaneous
